META
VERSION=1
DICT_NAME=柯林斯词典
DICT_INTRO=柯林斯词典示例文件，共999个单词的分割释义
DICT_LANG=en
DEF_TMPL={{单词}} {{词性}}{{音标}}<br/>{{中文释义}}
FIELDS=单词	音标	词性	扩展	英文释义	中文释义
A	英[eɪ]美[eɪ]			<span class="endef"><b>A</b> or <b>a</b> is used as an abbreviation for words beginning with a, such as 'acceleration', 'ampère', or 'answer'.   </span>	<span class="text_blue">（用于首字母为 a 的一些单词的缩写，如 acceleration，ampère和answer）</span>
A	英[eɪ]美[eɪ]	phrase		<span class="endef"> People talk about getting <b>from A to B</b> when they are referring generally to journeys they need to make, without saying where the journeys will take them.   </span>	<span class="text_blue">从一处到另一处；从甲地到乙地</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> when you are referring to someone or something for the first time or when people may not know which particular person or thing you are talking about.   </span>	<span class="text_blue">（指初次提及或非特指的人或物）一（个）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> when you are referring to any person or thing of a particular type and do not want to be specific.   </span>	<span class="text_blue">（一类人或事物中非特指的）任何一（个）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of an uncount noun when that noun follows an adjective, or when the noun is followed by words that describe it more fully.   </span>	<span class="text_blue">（用于前加形容词或后加修饰语的不可数名词之前）一（种）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of a mass noun when you want to refer to a single type or make of something.   </span>	<span class="text_blue">（用于物质名词前）一（类），一（种）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> in quantifiers such as <b>a lot</b> ,<b>a little</b>, and <b>a bit</b>.   </span>	<span class="text_blue">（用于表示数量的词组中）许多/少许/一点</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> to refer to someone or something as a typical member of a group, class, or type.   </span>	<span class="text_blue">（一类人或事物中典型的）一（个）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of the names of days, months, or festivals when you are referring to one particular instance of that day, month, or festival.   </span>	<span class="text_blue">（用于日子、月份或节日的名称之前以表示特例）一个</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> when you are saying what someone is or what job they have.   </span>	<span class="text_blue">（从事某一职业的）一（位），一（名）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of the names of people as a way of indicating that you do not know them or anything about them and you are saying their name for the first time.   </span>	<span class="text_blue">（用于不为说话人所知的首次提到的人名前）某一（个）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of the names of people when you want to refer to someone else who has the same qualities or character as the person named.   </span>	<span class="text_blue">（用于人名前，表示与该人有相同特性或品质）类似…的一个（或一位）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of a surname when you want to refer to someone who belongs to the family with that surname.   </span>	<span class="text_blue">（用于姓氏前，表示某人属于某姓氏家族）一位姓…的人</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in front of the names of artists to refer to one individual painting or sculpture created by them.   </span>	<span class="text_blue">（用于艺术家名字前）一幅…的画，一件…的雕塑作品</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> instead of the number 'one', especially with words of measurement such as 'hundred', 'hour', and 'metre', and with fractions such as 'half', 'quarter', and 'third'.   </span>	<span class="text_blue">（代替数字one使用，尤用于hundred，hour和metre等表示度量的单词之前以及half, quarter和third等分数之前）</span>
a	英[ə]美[eɪ]	★★★★★ det		<span class="endef"> You use <b>a</b> or <b>an</b> in expressions such as <b>eight hours a day</b> to express a rate or ratio.   </span>	<span class="text_blue">（用于表示比率的短语中）每一</span>
A, a	英[ˌeɪtəˈzed]美[ˌeɪtəˈzi]	n-var		<span class="endef"><b>A</b> is the first letter of the English alphabet.   </span>	<span class="text_blue">英语字母表的第1个字母</span>
A, a	英[ˌeɪtəˈzed]美[ˌeɪtəˈzi]	n-var		<span class="endef"> In music, <b>A</b> is the sixth note in the scale of C major.   </span>	<span class="text_blue">C大调音阶中的第六音；A音</span>
A, a	英[ˌeɪtəˈzed]美[ˌeɪtəˈzi]	n-var		<span class="endef"> If you get an <b>A</b> as a mark for a piece of work or in an exam, your work is extremely good.   </span>	<span class="text_blue">（作业、考试等）甲等，优等</span>
A, a	英[ˌeɪtəˈzed]美[ˌeɪtəˈzi]			<span class="endef"><b>A</b> or <b>a</b> is used as an abbreviation for words beginning with a, such as 'acceleration', 'ampère', or 'answer'.   </span>	<span class="text_blue">（用于首字母为 a 的一些单词的缩写，如 acceleration，ampère和answer）</span>
A, a	英[ˌeɪtəˈzed]美[ˌeɪtəˈzi]	phrase		<span class="endef"> People talk about getting <b>from A to B</b> when they are referring generally to journeys they need to make, without saying where the journeys will take them.   </span>	<span class="text_blue">从一处到另一处；从甲地到乙地</span>
aah	英[eɪ]美[ɑ]			<span class="endef">   <span class="text_gray" style="font-weight:bold;">→see: </span><b class="text_blue"><a class="explain" href="entry://ah">ah</a></b>;  </span>	<span class="text_blue"></span>
AB	英[ˈeɪˌbi:]美[ˈeˌbi]	n-count		<span class="endef"> In some American universities, an <b>AB</b> is the same as a <b>BA</b>.   </span>	<span class="text_blue">（某些美国大学中）同BA</span>
aback	英[əˈbæk]美[əˈbæk]	★☆☆☆☆ phrase		<span class="endef"> If you are <b>taken aback by</b> something, you are surprised or shocked by it and you cannot respond at once.   </span>	<span class="text_blue">吃惊，震惊（以至于无法立刻作出反应）</span>
abacus	英[ˈæbəkəs]美[ˈæbəkəs]	n-count		<span class="endef"> An <b>abacus</b> is a frame used for counting. It has rods with sliding beads on them.   </span>	<span class="text_blue">算盘</span>
abalone	英[ˌæbəˈləʊni]美[ˌæbəˈloʊni]	n-var		<span class="endef"><b>Abalone</b> is a shellfish that you can eat and that has a shiny substance called mother-of-pearl inside its shell.   </span>	<span class="text_blue">鲍，鲍鱼(有壳水生动物，可食，其壳内发光体为珍珠母)</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ verb		<span class="endef"> If you <b>abandon</b> a place, thing, or person, you leave the place, thing, or person permanently or for a long time, especially when you should not do so.   </span>	<span class="text_blue">离弃；遗弃；抛弃</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ verb		<span class="endef"> If you <b>abandon</b> an activity or piece of work, you stop doing it before it is finished.   </span>	<span class="text_blue">中途放弃，中止（活动、工作等）</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ verb		<span class="endef"> If you <b>abandon</b> an idea or way of thinking, you stop having that idea or thinking in that way.   </span>	<span class="text_blue">放弃（想法或思路）</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ verb		<span class="endef"> If you <b>abandon yourself to</b> an emotion, you think about it a lot and feel it strongly, especially when other people might think you are wrong to do so.   </span>	<span class="text_blue">放纵；使沉湎于</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ n-uncount		<span class="endef"> If you say that someone does something <b>with abandon</b>, you mean that they behave in a wild, uncontrolled way and do not think or care about how they should behave.   </span>	<span class="text_blue">放任；放纵</span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ see also:		<span class="endef"><b class="text_blue"><a class="explain" href="entry://abandoned">abandoned</a></b>;    </span>	<span class="text_blue"></span>
abandon	英[əˈbændən]美[əˈbændən]	★★★☆☆ phrase		<span class="endef"> If people <b>abandon ship</b>, they get off a ship because it is sinking.   </span>	<span class="text_blue">（船舶下沉时）弃船</span>
abandoned	英[əˈbændənd]美[əˈbændənd]	★★★☆☆ adj		<span class="endef"> An <b>abandoned</b> place or building is no longer used or occupied.   </span>	<span class="text_blue">(场所或建筑物)舍弃不用的，无人居住的</span>
abandonment	英[əˈbændənmənt]美[əˈbændənmənt]	★☆☆☆☆ n-uncount		<span class="endef"> The <b>abandonment of</b> a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so.   </span>	<span class="text_blue">离弃；遗弃；抛弃</span>
abandonment	英[əˈbændənmənt]美[əˈbændənmənt]	★☆☆☆☆ n-uncount		<span class="endef"> The <b>abandonment of</b> a piece of work or activity is the act of stopping doing it before it is finished.   </span>	<span class="text_blue">（工作、活动等的）中途放弃，中止</span>
abandonment	英[əˈbændənmənt]美[əˈbændənmənt]	★☆☆☆☆ n-uncount		<span class="endef"> The <b>abandonment of</b> an idea or way of thinking is the act of stopping having the idea or of stopping thinking in that way.   </span>	<span class="text_blue">（想法或思路的）放弃</span>
abashed	英[əˈbæʃt]	adj-graded		<span class="endef"> If you are <b>abashed</b>, you feel embarrassed and ashamed.   </span>	<span class="text_blue">尴尬的；窘迫的；羞愧的</span>
abate	英[əˈbeɪt]美[əˈbet]	★☆☆☆☆ verb		<span class="endef"> If something bad or undesirable <b>abates</b>, it becomes much less strong or severe.   </span>	<span class="text_blue">减弱；减轻；减退</span>
abatement	英[ə'beɪtmənt]美[əˈbetmənt]	n-uncount		<span class="endef"><b>Abatement</b> means a reduction in the strength or power of something or the reduction of it.   </span>	<span class="text_blue">减弱;减轻;减少</span>
abattoir	英[ˈæbətwɑ:(r)]美[ˈæbəˌtwɑr]	n-count		<span class="endef"> An <b>abattoir</b> is a place where animals are killed in order to provide meat.   </span>	<span class="text_blue">屠宰场</span>
abbess	英[ˈæbes]美[ˈæbɪs]	n-count		<span class="endef"> An <b>abbess</b> is the nun who is in charge of the other nuns in a convent.   </span>	<span class="text_blue">女修道院院长</span>
abbey	英[ˈæbi]美[ˈæbi]	★★☆☆☆ n-count		<span class="endef"> An <b>abbey</b> is a church with buildings attached to it in which monks or nuns live or used to live.   </span>	<span class="text_blue">（大）修道院</span>
abbot	英[ˈæbət]美['æbət]	n-count		<span class="endef"> An <b>abbot</b> is the monk who is in charge of the other monks in a monastery or abbey.   </span>	<span class="text_blue">男修道院院长；大寺院男住持</span>
abbreviate	英[əˈbri:vieɪt]美[əˈbriviˌet]	verb		<span class="endef"> If you <b>abbreviate</b> something, especially a word or a piece of writing, you make it shorter.   </span>	<span class="text_blue">缩写;缩简;缩短</span>
abbreviation	英[əˌbri:viˈeɪʃn]美[əˌbriviˈeʃən]	n-count		<span class="endef"> An <b>abbreviation</b> is a short form of a word or phrase, made by leaving out some of the letters or by using only the first letter of each word.   </span>	<span class="text_blue">缩写词；缩略形式</span>
ABC	英[ˌeɪbi:ˈsi:]美[ˌeɪbi'si]	★★☆☆☆ n-sing		<span class="endef"> The <b>ABC of</b> a subject or activity is the parts of it that you have to learn first because they are the most important and basic.   </span>	<span class="text_blue">（学科等的）基础知识，入门</span>
ABC	英[ˌeɪbi:ˈsi:]美[ˌeɪbi'si]	★★☆☆☆ n-count		<span class="endef"> Children who have learned their <b>ABC</b> or their <b>ABCs</b> have learned to recognize, write, or say the alphabet.   </span>	<span class="text_blue">字母表（儿童识字、写字、拼词用的全部字母）</span>
abdicate	英[ˈæbdɪkeɪt]美[ˈæbdɪˌket]	verb		<span class="endef"> If a king or queen <b>abdicates</b>, he or she gives up being king or queen.   </span>	<span class="text_blue">退位;逊位</span>
abdicate	英[ˈæbdɪkeɪt]美[ˈæbdɪˌket]	verb		<span class="endef"> If you say that someone has <b>abdicated</b> responsibility for something, you disapprove of them because they have refused to accept responsibility for it any longer.   </span>	<span class="text_blue">放弃（责任）；失（职）</span>
abdication	英[ˌæbdɪ'keɪʃn]美[ˌæbdɪ'keɪʃn]	verb		<span class="endef"> If a king or queen <b>abdicates</b>, he or she gives up being king or queen.   </span>	<span class="text_blue">退位;逊位</span>
abdication	英[ˌæbdɪ'keɪʃn]美[ˌæbdɪ'keɪʃn]	verb		<span class="endef"> If you say that someone has <b>abdicated</b> responsibility for something, you disapprove of them because they have refused to accept responsibility for it any longer.   </span>	<span class="text_blue">放弃（责任）；失（职）</span>
abdomen	英[ˈæbdəmən]美[ˈæbdəmən]	★☆☆☆☆ n-count		<span class="endef"> Your <b>abdomen</b> is the part of your body below your chest where your stomach and intestines are.   </span>	<span class="text_blue">腹（部）</span>
abdominal	英[æbˈdɒmɪnl]美[æbˈdɑmɪnl]	★☆☆☆☆ adj		<span class="endef"><b>Abdominal</b> is used to describe something that is situated in the abdomen or forms part of it.   </span>	<span class="text_blue">腹（部）的</span>
abdominals	英[æb'dɒmɪnlz]美[æb'dɒmɪnlz]	n-plural		<span class="endef"> You can refer to your abdominal muscles as your <b>abdominals</b> when you are talking about exercise.   </span>	<span class="text_blue">腹肌</span>
abduct	英[æbˈdʌkt]美[æbˈdʌkt]	★☆☆☆☆ verb		<span class="endef"> If someone <b>is abducted</b> by another person, he or she is taken away illegally, usually using force.   </span>	<span class="text_blue">诱拐；劫持；绑架</span>
abduction	英[æb'dʌkʃn]美[æb'dʌkʃn]	★☆☆☆☆ verb		<span class="endef"> If someone <b>is abducted</b> by another person, he or she is taken away illegally, usually using force.   </span>	<span class="text_blue">诱拐；劫持；绑架</span>
abductor	英[æbˈdʌktə(r)]美[æbˈdʌktɚ]	★☆☆☆☆ verb		<span class="endef"> If someone <b>is abducted</b> by another person, he or she is taken away illegally, usually using force.   </span>	<span class="text_blue">诱拐；劫持；绑架</span>
aberrant	英[æˈberənt]美[æˈbɛrənt,ˈæbə-]	adj-graded		<span class="endef"><b>Aberrant</b> means unusual and not socially acceptable.   </span>	<span class="text_blue">异常的;离经叛道的;为社会不容的</span>
aberration	英[ˌæbəˈreɪʃn]美[ˌæbəˈreʃən]	★☆☆☆☆ n-var		<span class="endef"> An <b>aberration</b> is an incident or way of behaving that is not typical.   </span>	<span class="text_blue">偶发事件;非典型行为</span>
aberration	英[ˌæbəˈreɪʃn]美[ˌæbəˈreʃən]	★☆☆☆☆ n-var		<span class="endef"> If someone considers a person or their behaviour to be an <b>aberration</b>, they think that they are strange and not socially acceptable.   </span>	<span class="text_blue">不正常的怪人；异常行为</span>
abet	英[əˈbet]美[əˈbɛt]	verb		<span class="endef"> If one person <b>abets</b> another, they help or encourage them to do something criminal or wrong. <b>Abet</b> is often used in the legal expression 'aid and abet'.   </span>	<span class="text_blue">教唆，唆使，怂恿，伴同(某人犯罪等）（常用于法律用语aid and abet中）</span>
abet	英[əˈbet]美[əˈbɛt]	verb		<span class="endef"> To <b>abet</b> something, especially something bad or undesirable, means to make it possible.   </span>	<span class="text_blue">煽动;促使（坏事等）成为可能</span>
abeyance	英[əˈbeɪəns]美[əˈbeəns]	phrase		<span class="endef"> If something is <b>in abeyance</b>, it is not operating or being used at the present time.   </span>	<span class="text_blue">搁置;悬而未决;暂停使用</span>
abhor	英[əbˈhɔ:(r)]美[æbˈhɔr]	verb		<span class="endef"> If you <b>abhor</b> something, you hate it very much, especially for moral reasons.   </span>	<span class="text_blue">（尤指出于道德原因）憎恨，憎恶</span>
abhorrence	英[əbˈhɒrəns]美[əbˈhɔrəns]	n-uncount		<span class="endef"> Some-one's <b>abhorrence</b> of something is their strong hatred of it.   </span>	<span class="text_blue">憎恨；憎恶</span>
abhorrent	英[əbˈhɒrənt]美[əbˈhɔrənt]	adj-graded		<span class="endef"> If something is <b>abhorrent to</b> you, you hate it very much or consider it completely unacceptable.   </span>	<span class="text_blue">令人憎恶的；使人厌恶的</span>
abide	英[əˈbaɪd]美[əˈbaɪd]	★☆☆☆☆ phrase		<span class="endef"><span class="st" onmouseout="st_mouseout(this)" onmouseover="st_mouseover(this)" style="font-weight:bold;">See also:</span><b class="text_blue"><a class="explain" href="entry://abiding">abiding</a></b>;<b class="text_blue"><a class="explain" href="entry://law-abiding">law-abiding</a></b>; If you <b>can't abide</b> someone or something, you dislike them very much.   </span>	<span class="text_blue">难以忍受；无法容忍</span>
abide by	英[əˈbaidbai]美[əˈbaɪdbaɪ]	phrasal verb		<span class="endef"> If you <b>abide by</b> a law, agreement, or decision, you do what it says you should do.   </span>	<span class="text_blue">遵守，遵照（法规、约定等）</span>
abiding	英[əˈbaɪdɪŋ]美[əˈbaɪdɪŋ]	★☆☆☆☆ adj-graded		<span class="endef"> An <b>abiding</b> feeling, memory, or interest is one that you have for a very long time.   </span>	<span class="text_blue">（情感、记忆、兴趣等）持久的，长久的</span>
-ability	[ə'biliti]	suffix		<span class="endef"><b>-ability</b> replaces '-able' at the end of adjectives to form nouns. Nouns formed in this way refer to the state or quality described by the adjectives.   </span>	<span class="text_blue">（替代-able加在形容词尾构成名词）表示“状态”，“性质”</span>
ability	英[əˈbɪləti]美[əˈbɪlɪti]	★★★★☆ n-sing		<span class="endef"> Your <b>ability to</b> do something is the fact that you can do it.   </span>	<span class="text_blue">能力</span>
ability	英[əˈbɪləti]美[əˈbɪlɪti]	★★★★☆ n-var		<span class="endef"> Your <b>ability</b> is the quality or skill that you have which makes it possible for you to do something.   </span>	<span class="text_blue">才能;技能;本领</span>
ability	英[əˈbɪləti]美[əˈbɪlɪti]	★★★★☆ phrase		<span class="endef"> If you do something <b>to the best of</b> your <b>abilities</b> or <b>to the best of</b> your <b>ability</b>, you do it as well as you can.   </span>	<span class="text_blue">尽…所能地；竭尽全力地</span>
abject	英[ˈæbdʒekt]美[ˈæbˌdʒɛkt,æbˈdʒɛkt]	★☆☆☆☆ adj-graded		<span class="endef"> You use <b>abject</b> to emphasize that a situation or quality is extremely bad.   </span>	<span class="text_blue">凄惨的;糟透的;蹩脚的</span>
abject	英[ˈæbdʒekt]美[ˈæbˌdʒɛkt,æbˈdʒɛkt]	★☆☆☆☆ adj-graded		<span class="endef"> If you describe someone as <b>abject</b>, you think they have no courage or respect for themselves.   </span>	<span class="text_blue">卑躬屈节的；自卑的；怯懦的</span>
abjectly	英['æbdʒektlɪ]美['æbdʒektlɪ]	★☆☆☆☆ adj-graded		<span class="endef"> You use <b>abject</b> to emphasize that a situation or quality is extremely bad.   </span>	<span class="text_blue">凄惨的;糟透的;蹩脚的</span>
abjectly	英['æbdʒektlɪ]美['æbdʒektlɪ]	★☆☆☆☆ adj-graded		<span class="endef"> If you describe someone as <b>abject</b>, you think they have no courage or respect for themselves.   </span>	<span class="text_blue">卑躬屈节的；自卑的；怯懦的</span>
abjure	英[əbˈdʒʊə(r)]美[əbˈdʒʊr]	verb		<span class="endef"> If you <b>abjure</b> something such as a belief or way of life, you state publicly that you will give it up or that you reject it.   </span>	<span class="text_blue">发誓弃绝，郑重声明放弃(信仰、生活方式等）</span>
ablaze	英[əˈbleɪz]美[əˈblez]	★☆☆☆☆ adj		<span class="endef"> Something that is <b>ablaze</b> is burning very fiercely.   </span>	<span class="text_blue">炽燃的；熊熊燃烧的</span>
ablaze	英[əˈbleɪz]美[əˈblez]	★☆☆☆☆ adj		<span class="endef"> If a place is <b>ablaze with</b> lights or colours, it is very bright because of them.   </span>	<span class="text_blue">闪耀的；闪亮的</span>
ablaze	英[əˈbleɪz]美[əˈblez]	★☆☆☆☆ adj		<span class="endef"> If someone is <b>ablaze</b>, or if their eyes are <b>ablaze</b>, their expression shows that they are feeling a strong emotion, such as great excitement or anger.   </span>	<span class="text_blue">（目光、神色等）激动的，兴奋的，愤怒的</span>
-able	[əbl]	suffix		<span class="endef"><b>-able</b> combines with verbs to form adjectives. Adjectives formed in this way describe someone or something that can have a particular thing done to them. For example, if something is avoidable, it can be avoided.   </span>	<span class="text_blue">（附在动词后构成形容词）表示“可…的”，“值得…的”，“能…的”</span>
able	英[ˈeɪbl]美[ˈebəl]	★★★★★ phr-modal		<span class="endef"> If you <b>are able to</b> do something, you have skills or qualities which make it possible for you to do it.   </span>	<span class="text_blue">（因具有品质或技能）能做到…的</span>
able	英[ˈeɪbl]美[ˈebəl]	★★★★★ phr-modal		<span class="endef"> If you <b>are able to</b> do something, you have enough freedom, power, time, or money to do it.   </span>	<span class="text_blue">（因有足够的自由、权力、时间、财力等而）可以…的，能够…的</span>
able	英[ˈeɪbl]美[ˈebəl]	★★★★★ adj-graded		<span class="endef"> Someone who is <b>able</b> is very clever or very good at doing something.   </span>	<span class="text_blue">聪明能干的；能力出众的</span>
able	英[ˈeɪbl]美[ˈebəl]	★★★★★ 		<span class="endef">    <span class="text_gray">→see usage note at:</span><b class="text_blue"><a class="explain" href="entry://can">can</a></b></span>	<span class="text_blue"></span>
able-bodied	英['eɪbl'bɒdɪd]美[ˈebəlˈbɑdid]	adj-graded		<span class="endef"> An <b>able-bodied</b> person is physically strong and healthy, rather than weak or disabled.   </span>	<span class="text_blue">体格健全的；身强体壮的</span>
ablutions	英[əˈblu:ʃnz]美[əˈbluːʃnz]	n-plural		<span class="endef"> Someone's <b>ablutions</b> are all the activities that are involved in washing himself or herself.   </span>	<span class="text_blue">沐浴；洗澡</span>
ably	英[ˈeɪbli]美[ˈeɪbli]	adv-graded		<span class="endef"><b>Ably</b> means skilfully and successfully.   </span>	<span class="text_blue">能干地；成功地</span>
abnormal	英[æbˈnɔ:ml]美[æbˈnɔrml]	★☆☆☆☆ adj-graded		<span class="endef"> Someone or something that is <b>abnormal</b> is unusual, especially in a way that is worrying.   </span>	<span class="text_blue">反常的；异常的；不规则的</span>
abnormality	英[ˌæbnɔ:ˈmæləti]美[ˌæbnɔrˈmæləti]	★☆☆☆☆ n-var		<span class="endef"> An <b>abnormality</b> in something, especially in a person's body or behaviour, is an unusual part or feature of it that may be worrying or dangerous.   </span>	<span class="text_blue">（尤指身体或行为上让人担忧或危险的）反常情况，变态特征</span>
abnormally	英[æb'nɔ:məlɪ]美[æb'nɔməlɪ]	★☆☆☆☆ adj-graded		<span class="endef"> Someone or something that is <b>abnormal</b> is unusual, especially in a way that is worrying.   </span>	<span class="text_blue">反常的；异常的；不规则的</span>
aboard	英[əˈbɔ:d]美[əˈbɔrd]	★★☆☆☆ prep		<span class="endef"> If you are <b>aboard</b> a ship or plane, you are on it or in it.   </span>	<span class="text_blue">在（船、飞机等）上</span>
abode	英[əˈbəʊd]美[əˈboʊd]	n-count		<span class="endef"> Your <b>abode</b> is the place where you live.   </span>	<span class="text_blue">住所；寓所</span>
abode	英[əˈbəʊd]美[əˈboʊd]	phrase		<span class="endef"> If someone has <b>no fixed abode</b>, they are homeless.   </span>	<span class="text_blue">居无定所；无家可归</span>
abode	英[əˈbəʊd]美[əˈboʊd]	phrase		<span class="endef"> If someone is given the <b>right of abode</b> in a particular country, they are legally allowed to live there.   </span>	<span class="text_blue">居住权；居留权</span>
abolish	英[əˈbɒlɪʃ]美[əˈbɑlɪʃ]	★★☆☆☆ verb		<span class="endef"> If someone in authority <b>abolishes</b> a system or practice, they formally put an end to it.   </span>	<span class="text_blue">废除，废止（制度、习俗等）</span>
abolition	英[ˌæbəˈlɪʃn]美[ˌæbəˈlɪʃən]	★☆☆☆☆ n-uncount		<span class="endef"> The <b>abolition of</b> something such as a system or practice is its formal ending.   </span>	<span class="text_blue">（制度、习俗等的）废除，废止</span>
abolitionist	英[ˌæbəˈlɪʃənɪst]	n-count		<span class="endef"> An <b>abolitionist</b> is someone who campaigns for the abolition of a particular system or practice.   </span>	<span class="text_blue">废除主义者;主张废除（某种制度或习俗）的人</span>
A-bomb	英[ˈeɪˌbɔm]美[ˈeˌbɑm]	n-count		<span class="endef"> An <b>A-bomb</b> is an atomic bomb.   </span>	<span class="text_blue">原子弹</span>
abominable	英[əˈbɒmɪnəbl]美[əˈbɑmɪnəbl]	adj-graded		<span class="endef"> Something that is <b>abominable</b> is very unpleasant or bad.   </span>	<span class="text_blue">可恶的；恶劣的；极糟的</span>
abominably	英[ə'bɒmɪnəblɪ]美[ə'bɒmɪnəblɪ]	adj-graded		<span class="endef"> Something that is <b>abominable</b> is very unpleasant or bad.   </span>	<span class="text_blue">可恶的；恶劣的；极糟的</span>
abomination	英[əˌbɒmɪˈneɪʃn]美[əˌbɑmɪˈneɪʃn]	n-count		<span class="endef"> If you say that something is an <b>abomination</b>, you think that it is completely unacceptable.   </span>	<span class="text_blue">令人完全无法接受的事物；令人厌恶的事物</span>
